steps,return
12,1304.961233333334
15,1311.0108833333331
18,1302.3984166666664
21,1274.6530166666664
24,1274.9659000000001
27,1329.4233333333334
30,1357.3129333333331
33,1388.861583333334
36,1369.7907333333335
39,1378.4908499999992
42,1353.5410666666667
45,1296.4260333333339
48,1314.975533333333
51,1272.75995
54,1269.151583333333
57,1247.46355
60,1146.8890000000004
63,1112.552816666667
66,1184.1947666666665
69,1169.0083499999998
72,1218.0543166666664
75,1167.889
78,1215.96555
81,1210.596316666667
84,1241.5227666666667
87,1184.26715
