steps,return
60,1148.7373666666667
63,1157.9868166666668
66,1160.395816666667
69,1225.31355
72,1228.0366499999998
75,1243.0694
78,1249.341683333333
81,1275.2422000000004
84,1274.22295
87,1287.2160999999996
90,1294.1824833333337
93,1308.166983333334
96,1312.1598666666669
99,1319.663666666667
102,1321.183366666667
105,1326.5417166666664
108,1333.1746499999995
111,1338.6003500000002
114,1348.6824999999997
117,1356.8785666666665
120,1361.5064000000004
123,1369.569316666666
126,1377.6551833333335
129,1387.2239333333334
132,1401.2428666666667
135,1401.8284500000002
138,1409.8694666666659
141,1406.1220666666668
144,1415.9776333333332
147,1415.2462999999998
150,1412.1244666666664
153,1417.4250833333333
156,1403.3849500000003
159,1403.0698833333336
162,1406.4701499999999
165,1413.6662333333331
168,1419.7314833333323
171,1404.6067499999997
174,1422.3475999999998
177,1414.8427999999992
180,1401.0311499999998
183,1404.5823833333332
186,1409.6641333333337
